track_id	song_name	song_lyrics	popularity	album_name	release_date	genre	artist	total_words	unique_words	lexical_diversity	love_freq	heart_freq	you_freq	i_freq	baby_freq	night_freq
5MMnwYs0hIxkENRsbkWJ2G	Smoke On The Water - Remastered 2012	We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground Smoke on the water (And fire in the sky) Smoke on the water They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race Smoke on the water (And fire in the sky) Smoke on the water NA We ended up at the Grand Hotel It was empty cold and bare But with the Rolling-truck-Stones-thing just outside Making our music there With a few red lights, a few old beds We made a place to sweat No matter what we get out of this I know I know we'll never forget Smoke on the water (And fire in the sky) Smoke on the water NA We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground Smoke on the water (And fire in the sky) Smoke on the water They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race Smoke on the water (And fire in the sky) Smoke on the water NA We ended up at the Grand Hotel It was empty cold and bare But with the Rolling-truck-Stones-thing just outside Making our music there With a few red lights, a few old beds We made a place to sweat No matter what we get out of this I know I know we'll never forget Smoke on the water (And fire in the sky) Smoke on the water NA We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground Smoke on the water (And fire in the sky) Smoke on the water They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race Smoke on the water (And fire in the sky) Smoke on the water NA We ended up at the Grand Hotel It was empty cold and bare But with the Rolling-truck-Stones-thing just outside Making our music there With a few red lights, a few old beds We made a place to sweat No matter what we get out of this I know I know we'll never forget Smoke on the water (And fire in the sky) Smoke on the water NA	75	Machine Head (Remastered)	1972-03-25	rock	Deep Purple	570	107	0.18771929824561404	0	0	0	1.0526315789473684	0	0
1cU34sZG9kF4FYHCoAD0Ib	Some Kind Of Wonderful - Remastered 1999	I don't need a whole lots of money I don't need a big fine car I got everything that a man could want I got more than I could ask for I don't have to run around I don't have to stay out all night Cause I got me a sweet ... a sweet, lovin' woman And she knows just how to treat me right Well my baby, she's alright Well my baby, she's clean out-of-sight Don't you know that she's ... she's some kind of wonderful She's some kind of wonderful ... yes she is, she'sShe's some kind of wonderful, yeah, yeah, yeah, yeahhh ... When I hold her in my arms You know she sets my soul on fire Oooh, when my baby kisses me My heart becomes filled with desire When she wraps her lovin' arms around me About drives me out of my mind Yeah, when my baby kisses me Chills run up and down my spine Well my baby, she's alright Well my baby, she's clean out-of-sight Don't you know that she is ... she's some kind of wonderful She's some kind of wonderful ... yes she is She's some kind of wonderful, yeah, yeah, yeah, yeahhh ... Now is there anybody, got a sweet little woman like mine? There got to be somebody, got a, got a sweet little woman like mine? Yeah!Can I get a witness? Can I get a witness? Can I get a witness? Yeah ... Can I get a witness? Ohhh ... Can I get a witness? Yeah ... Can I get a witness? Yeah, yes I'm talkin', talkin' 'bout my baby. Yeah She's some kind of wonderful Talkin' 'bout my baby She's some kind of wonderful Talkin' 'bout my baby She's some kind of wonderful I'm talkin' 'bout my baby, my baby, my baby She's some kind of wonderful I'm talkin' about my baby, my baby, my baby She's some kind of wonderful Yeah, yeah, yeah, yeah, ... my baby, my baby She's some kind of wonderful Talkin' 'bout my baby, my baby, my baby She's some kind of wonderful I'm talkin' 'bout my baby, my baby, my baby She's some kind of wonderful Talking 'bout my babe She's some kind of wonderful She's some kind of wonderful I don't need a whole lots of money I don't need a big fine car I got everything that a man could want I got more than I could ask for I don't have to run around I don't have to stay out all night Cause I got me a sweet ... a sweet, lovin' woman And she knows just how to treat me right Well my baby, she's alright Well my baby, she's clean out-of-sight Don't you know that she's ... she's some kind of wonderful She's some kind of wonderful ... yes she is, she'sShe's some kind of wonderful, yeah, yeah, yeah, yeahhh ... When I hold her in my arms You know she sets my soul on fire Oooh, when my baby kisses me My heart becomes filled with desire When she wraps her lovin' arms around me About drives me out of my mind Yeah, when my baby kisses me Chills run up and down my spine Well my baby, she's alright Well my baby, she's clean out-of-sight Don't you know that she is ... she's some kind of wonderful She's some kind of wonderful ... yes she is She's some kind of wonderful, yeah, yeah, yeah, yeahhh ... Now is there anybody, got a sweet little woman like mine? There got to be somebody, got a, got a sweet little woman like mine? Yeah!Can I get a witness? Can I get a witness? Can I get a witness? Yeah ... Can I get a witness? Ohhh ... Can I get a witness? Yeah ... Can I get a witness? Yeah, yes I'm talkin', talkin' 'bout my baby. Yeah She's some kind of wonderful Talkin' 'bout my baby She's some kind of wonderful Talkin' 'bout my baby She's some kind of wonderful I'm talkin' 'bout my baby, my baby, my baby She's some kind of wonderful I'm talkin' about my baby, my baby, my baby She's some kind of wonderful Yeah, yeah, yeah, yeah, ... my baby, my baby She's some kind of wonderful Talkin' 'bout my baby, my baby, my baby She's some kind of wonderful I'm talkin' 'bout my baby, my baby, my baby She's some kind of wonderful Talking 'bout my babe She's some kind of wonderful She's some kind of wonderful	60	30 Years Of Funk: 1969-1999 The Anthology	1999-01-01	rock	Grand Funk Railroad	758	119	0.15699208443271767	0	0.2638522427440633	0.79155672823219	5.013192612137203	6.068601583113456	0.2638522427440633
39cmB3ZoTOLwOTq7tMNqKa	Hear Me Now	If you get to hear me now If you get to hear me now I know you'll get stronger When you get older Just don't shrug your shoulders When you get older The things aren't easy So just believe me now If you don't keep it cool now You'll never make a sound All the lights will guide the way If you get to hear me now All the fears will fade away If you get to hear me now If you get to hear me now If you get to hear me now Leave excuses aside Speak out your mind And don't let it slide You're not always right The things aren't easy So just believe me now Don't learn the hard way Just let me show you how All the lights will guide the way If you get to hear me now All the fears will fade away If you get to hear me now If you get to hear me now If you get to hear me now If you get to hear me now If you get to hear me now If you get to hear me now If you get to hear me now	75	Hear Me Now	2016	pop	Alok	199	60	0.3015075376884422	0	0	10.552763819095476	0.5025125628140703	0	0
2ZICF8SFI5tHttaLJKMY1X	False Pretense	Oh, it's time to let it go The world's got a funny way of turning round on you When a friend tries to stab you right in the face Losing faith in everything I thought, I hoped and knew Don't sweat it Set a false pretense Betray, you're not gonna be willing to change Yeah, and it doesn't seem likely to fade Betray, you're not gonna be willing to change Ca-ca-ca-ca-cause you know In sacrifice False pretense, you'll hurt again Stop pretending to deny False pretense, you'll hurt again All along you know you thought you got the best of me You were wrong and I'm laughing right in your face I cannot believe you claimed you were my family Don't sweat it Set a false pretense Betray, you're not gonna be willing to change Yeah, and it doesn't seem likely to fade Betray, you're not gonna be willing to change Ca-ca-ca-ca-cause you know In sacrifice False pretense, you'll hurt again Stop pretending to deny False pretense, you'll hurt again Guitar Oh, it's time to let it go I can't seem to understand it How you've turned out to be so cold You tried but were caught red handed Are you happy with your role? It's funny to me how you've turned into such a joke In sacrifice False pretense, you'll hurt again Stop pretending to deny False pretense, you'll hurt again So play the game until you run out And play the game into my head	62	Don't You Fake It	2006-01-01	rock	The Red Jumpsuit Apparatus	247	109	0.44129554655870445	0	0	10.121457489878543	2.0242914979757085	0	0
5RgFlk1fcClZd0Y4SGYhqH	She's Always a Woman	She can kill with a smile, she can wound with her eyes She can ruin your faith with her casual lies And she only reveals what she wants you to see She hides like a child but she's always a woman to me She can lead you to love, she can take you or leave you She can ask for the truth but she'll never believe you And she'll take what you give her as long as it's free Yeah she steals like a thief but she's always a woman to me Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind And she'll promise you more than the Garden of Eden Then she'll carelessly cut you and laugh while you're bleeding But she'll bring out the best and the worst you can be Blame it all on yourself cause she's always a woman to me Mmm Mmm Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind She is frequently kind and she's suddenly cruel She can do as she pleases, she's nobody's fool But she can't be convicted, she's earned her degree And the most she will do is throw shadows at you But she's always a woman to me Mmm Mmm	71	The Stranger (Legacy Edition)	1977	rock	Billy Joel	250	110	0.44	0.4	0	4.3999999999999995	0	0	0
2lnzGkdtDj5mtlcOW2yRtG	Whenever, Wherever	Lucky you were born that far away so We could both make fun of distance Lucky that I love a foreign land for The lucky fact of your existence Baby, I would climb the Andes solely To count the freckles on your body Never could imagine there were only Ten million ways to love somebody Le ro lo le lo le, le ro lo le lo le Can't you see? I'm at your feet Whenever, wherever We're meant to be together I'll be there and you'll be near And that's the deal, my dear Thereover, hereunder You'll never have to wonder We can always play by ear But that's the deal, my dear Lucky that my lips not only mumble They spill kisses like a fountain Lucky that my breasts are small and humble So you don't confuse them with mountains Lucky I have strong legs like my mother To run for cover when I need it And these two eyes that for no other The day you leave will cry a river Le ro lo le lo le, le ro lo le lo le At your feet I'm at your feet Whenever, wherever We're meant to be together I'll be there and you'll be near And that's the deal, my dear Thereover, hereunder You'll never have to wonder We can always play by ear But that's the deal, my dear Le ro le le lo le, le ro le le lo le Think out loud, say it again Le ro lo le lo le lo le Tell me one more time That you'll live Lost in my eyes Whenever, wherever We're meant to be together I'll be there and you'll be near And that's the deal, my dear Thereover, hereunder You've got me head over heels There's nothing left to fear If you really feel the way I feel Whenever, wherever We're meant to be together I'll be there and you'll be near And that's the deal, my dear Thereover, hereunder You've got me head over heels There's nothing left to fear If you really feel the way I feel	71	Laundry Service	2001-11-13	pop	Shakira	351	147	0.4188034188034188	0.5698005698005698	0	4.273504273504273	3.418803418803419	0.2849002849002849	0
4C8qZRxrteBY9F8r2oZrV3	You're All I Need	I know that she's waitin' For me to say forever I know that I sometimes Just don't know how to tell her I want to hold and kiss her Give her my love, make her believe She doesn't know She doesn't know You're all I need beside me girl You're all I need to turn my world You're all I want inside my heart You're all I need when we're apart You're all that I need - yeah I know that she's always There when I need her loving I know that I never Told her how much I love her I see her face before me I look in her eyes Just wondering why She doesn't know She doesn't know She doesn't know You're all I need beside me girl You're all I need to turn my world You're all I want inside my heart You're all I need when we're apart Say, say that you'll be there Whenever I reach out to feel your hand in mine Stay, stay within my heart Whenever I'm alone, I know that you are there Oooooh (2 times) You're all I need beside me girl You're all I need to turn my world You're all I want inside my heart You're all I need when we're apart All that I need is for you to believe All that I need is YOU	58	Mane Attraction	1991-03-26	rock	White Lion	230	81	0.3521739130434783	0.8695652173913043	1.7391304347826086	7.391304347826087	12.608695652173912	0	0
3GXo1eWlT2flv4x01l5OTu	Disco Inferno	Burn baby burn Burn baby burn Burn baby burn Burn baby burn Burning To my surprise - listen - one hundred stories high People getting loose y'all, getting down on the roof, do you hear? The funk was flaming, out of control It was so entertaining, when the boogie started to explode I heard somebody say Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn, disco inferno Burn baby burn, burn the mother down Burning Satisfaction, came in the chain reaction I couldn't get enough, 'till I had to self-destruct The heat was on, rising to the top Everybody's going strong, and that is when my spark got hot I heard somebody say Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn, disco inferno Burn baby burn, burn the mother down Burning Up above my head, I hear music in the air That makes me know there's somebody somewhere Satisfaction, came in a chain reaction, do you hear? I couldn't get enough, so I had to self-destruct The heat was on, rising to the top Everybody's going strong, that is when my spark got hot I heard somebody say Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn Burn baby burn, burn the mother down Burn baby burn, disco inferno Burn baby burn, burn the mother down Burning (Just can't stop When my spark gets hot) (When my spark gets hot) Burning (x23) I don't know if you understand what i'm talking about I'm not talking about burning down a building It's coming from the soul (Just can't stop) Soul funk (When my spark gets hot) Burning in my soul Ow Now, listen Don't you rescue me (Just can't stop) Let my spirit burn free (When my spark gets hot) Don't you rescue me, no Let my spirit burn free (When my spark gets hot) Everybody say ow Say ow You feel the spirit tonight Disco funk Come here on the floor Let's rock some more I'm on fire I'm on fire Let the good times roll Do you feel alright? Feel pretty good, y'all People getting loose Getting down on the groove The flame is higher Is higher Alright I can't get enough I want some more I want some more I'm burning I'm burning Burning in the soul Burning, burning, burning, burning, burning, burning, burning (Just can't stop When my spark gets hot) (Just can't stop When my spark gets hot) (When my spark gets hot) (Just can't stop When my spark gets hot) (When my spark gets hot) (Just can't stop When my spark gets hot) (When my spark gets hot) (Just can't stop When my spark gets hot) (When my spark gets hot) (Just can't stop When my spark gets hot) (When my spark gets hot) Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn, disco inferno Burn baby burn, burn the mother down Burn baby burn Burn baby burn, burn the mother down	54	Playlist: The Best Of The Trammps	2016-06-17	r&b	The Trammps	524	153	0.2919847328244275	0	0	1.3358778625954197	3.435114503816794	4.961832061068702	0
3UmaczJpikHgJFyBTAJVoz	Stan	NA My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window And I can't see at all And even if I could it'd all be gray But your picture on my wall It reminds me that it's not so bad, it's not so bad My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window And I can't see at all And even if I could it'd all be gray But your picture on my wall It reminds me that it's not so bad, it's not so bad Dear Slim, I wrote you, but you still ain't callin' I left my cell, my pager and my home phone at the bottom I sent two letters back in autumn, you must not've got 'em There probably was a problem at the post office or somethin' Sometimes I scribble addresses too sloppy when I jot 'em But anyways, fuck it, what's been up, man? How's your daughter? My girlfriend's pregnant too, I'm 'bout to be a father If I have a daughter, guess what I'ma call her? I'ma name her BonnieI read about your Uncle Ronnie too, I'm sorry I had a friend kill himself over some bitch who didn't want him I know you probably hear this every day, but I'm your biggest fan I even got the underground shit that you did with Skam I got a room full of your posters and your pictures, man I like the shit you did with Rawkus too, that shit was phat Anyways, I hope you get this, man, hit me back Just to chat, truly yours, your biggest fan, this is Stan My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window And I can't see at all And even if I could it'd all be gray But your picture on my wall It reminds me that it's not so bad, it's not so bad Dear Slim, you still ain't called or wrote, I hope you have a chance I ain't mad, I just think it's fucked up you don't answer fans If you didn't want to talk to me outside your concert, you didn't have to But you coulda signed an autograph for Matthew That's my little brother, man, he's only six years old We waited in the blisterin' cold For you, for four hours, and you just said no That's pretty shitty, man, you're like his fuckin' idol He wants to be just like you, man, he likes you more than I do I ain't that mad, though I just don't like bein' lied to Remember when we met in Denver? You said if I'd write you, you would write back See, I'm just like you in a way: I never knew my father neither He used to always cheat on my mom and beat her I can relate to what you're sayin' in your songs So when I have a shitty day, I drift away and put 'em on ‘Cause I don't really got shit else So that shit helps when I'm depressed I even got a tattoo with your name across the chest Sometimes I even cut myself to see how much it bleeds It's like adrenaline, the pain is such a sudden rush for me See, everything you say is real, and I respect you ‘cause you tell it My girlfriend's jealous 'cause I talk about you 24/7But she don't know you like I know you, Slim, no one does She don't know what it was like for people like us growin' up You gotta call me, man, I'll be the biggest fan you'll ever lose Sincerely yours, Stan—P.S.: We should be together too My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window And I can't see at all And even if I could it'd all be gray But your picture on my wall It reminds me that it's not so bad, it's not so bad Dear Mr. I'm-Too-Good-to-Call-or-Write-My-Fans This'll be the last package I ever send your ass It's been six months, and still no word—I don't deserve it? I know you got my last two letters I wrote the addresses on 'em perfect So this is my cassette I'm sendin' you, I hope you hear it I'm in the car right now, I'm doin' 90 on the freeway Hey, Slim, I drank a fifth of vodka, you dare me to drive? You know the song by Phil Collins, """"In the Air of the Night"""" About that guy who coulda saved that other guy from drownin' But didn't, then Phil saw it all, then at a show he found him? That's kinda how this is: you coulda rescued me from drownin'Now it's too late, I'm on a thousand downers now—I'm drowsy And all I wanted was a lousy letter or a call I hope you know I ripped all of your pictures off the wall I loved you, Slim, we coulda been together—think about it!You ruined it now, I hope you can't sleep and you dream about it And when you dream I hope you can't sleep and you scream about it I hope your conscience eats at you and you can't breathe without me See, Slim—shut up, bitch! I'm tryin' to talk Hey, Slim, that's my girlfriend screamin' in the trunk But I didn't slit her throat, I just tied her up—See? I ain't like you ‘Cause if she suffocates she'll suffer more and then she'll die too Well, gotta go, I'm almost at the bridge now Oh, shit, I forgot—how am I supposed to send this shit out?! My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window And I can't see at all And even if I could it'd all be gray But your picture on my wall It reminds me that it's not so bad, it's not so bad Dear Stan, I meant to write you sooner, but I just been busy You said your girlfriend's pregnant now, how far along is she? Look, I'm really flattered you would call your daughter that And here's an autograph For your brother; I wrote it on a Starter cap I'm sorry I didn't see you at the show, I must've missed you Don't think I did that shit intentionally just to diss you But what's this shit you said about you like to cut your wrists too? I say that shit just clownin', dawg, come on, how fucked up is you? You got some issues, Stan, I think you need some counselin'To help your ass from bouncin' Off the walls when you get down some And what's this shit about us meant to be together? That type of shit'll make me not want us to meet each other I really think you and your girlfriend need each other Or maybe you just need to treat her better I hope you get to read this letter, I just hope it reaches you in time Before you hurt yourself, I think that you'll be doin' just fine If you relax a little, I'm glad I inspire you, but Stan Why are you so mad? Try to understand That I do want you as a fan I just don't want you to do some crazy shit I seen this one shit on the news a couple weeks ago that made me sick Some dude was drunk and drove his car over a bridge And had his girlfriend in the trunk And she was pregnant with his kid And in the car they found a tape, but they didn't say who it was to Come to think about it, his name was—it was you, damn…	74	The Marshall Mathers LP	2000-05-23	rap	Eminem	1322	465	0.3517397881996974	0	0	5.446293494704992	7.715582450832073	0	0.07564296520423601
4yugZvBYaoREkJKtbG08Qr	Take It Easy - 2013 Remaster	Well, I'm running down the road tryin' to loosen my load I've got seven women on my mind Four that wanna own me, two that wanna stone me One says she's a friend of mine Take It easy, take it easy Don't let the sound of your own wheels drive you crazy Lighten up while you still can Don't even try to understand Just find a place to make your stand and take it easy Well, I'm a standing on a corner in Winslow, Arizona And such a fine sight to see It's a girl, my Lord, in a flatbed Ford Slowin' down to take a look at me Come on, baby, don't say maybe I gotta know if your sweet love is gonna save me We may lose, and we may win Though we will never be here again So open up, I'm climbin' in So take it easy Well I'm running down the road trying to loosen my load Got a world of trouble on my mind Lookin' for a lover who won't blow my cover She's so hard to find Take it easy, take it easy Don't let the sound of your own wheels make you crazy Come on baby, don't say maybe I gotta know if your sweet love is gonna save me, oh oh oh Oh we got it easy We oughta take it easy Well, I'm running down the road tryin' to loosen my load I've got seven women on my mind Four that wanna own me, two that wanna stone me One says she's a friend of mine Take It easy, take it easy Don't let the sound of your own wheels drive you crazy Lighten up while you still can Don't even try to understand Just find a place to make your stand and take it easy Well, I'm a standing on a corner in Winslow, Arizona And such a fine sight to see It's a girl, my Lord, in a flatbed Ford Slowin' down to take a look at me Come on, baby, don't say maybe I gotta know if your sweet love is gonna save me We may lose, and we may win Though we will never be here again So open up, I'm climbin' in So take it easy Well I'm running down the road trying to loosen my load Got a world of trouble on my mind Lookin' for a lover who won't blow my cover She's so hard to find Take it easy, take it easy Don't let the sound of your own wheels make you crazy Come on baby, don't say maybe I gotta know if your sweet love is gonna save me, oh oh oh Oh we got it easy We oughta take it easy	75	Eagles (2013 Remaster)	1972	rock	Eagles	460	126	0.27391304347826084	0.8695652173913043	0	1.3043478260869565	3.0434782608695654	0.8695652173913043	0
